iter	Passed	Remaining
0	53	10632
1	92	9179
2	133	8756
3	173	8486
4	212	8273
5	258	8350
6	300	8284
7	343	8232
8	382	8115
9	411	7815
10	452	7775
11	495	7761
12	538	7739
13	579	7699
14	627	7744
15	672	7731
16	720	7754
17	767	7763
18	810	7720
19	854	7692
20	898	7660
21	937	7586
22	980	7547
23	1020	7481
24	1090	7635
25	1134	7594
26	1183	7581
27	1234	7582
28	1282	7561
29	1375	7797
30	1422	7756
31	1468	7708
32	1512	7652
33	1550	7570
34	1590	7497
35	1631	7432
36	1670	7360
37	1709	7287
38	1748	7220
39	1792	7171
40	1837	7126
41	1884	7091
42	1930	7047
43	1978	7016
44	2023	6970
45	2066	6919
46	2116	6889
47	2168	6866
48	2218	6837
49	2269	6807
50	2312	6756
51	2358	6712
52	2401	6661
53	2440	6598
54	2479	6536
55	2521	6484
56	2561	6426
57	2602	6371
58	2645	6321
59	2683	6262
60	2722	6202
61	2762	6148
62	2802	6093
63	2843	6041
64	2884	5991
65	2922	5934
66	2962	5880
67	3002	5829
68	3045	5782
69	3088	5735
70	3132	5692
71	3177	5649
72	3219	5601
73	3261	5553
74	3305	5509
75	3345	5459
76	3386	5409
77	3426	5358
78	3465	5307
79	3502	5253
80	3540	5201
81	3576	5147
82	3617	5099
83	3659	5053
84	3702	5009
85	3746	4966
86	3790	4923
87	3833	4878
88	3872	4830
89	3911	4781
90	3950	4731
91	3991	4685
92	4028	4634
93	4063	4581
94	4100	4531
95	4135	4480
96	4171	4429
97	4208	4379
98	4245	4331
99	4279	4279
100	4316	4231
101	4352	4181
102	4386	4131
103	4422	4082
104	4469	4043
105	4503	3994
106	4539	3945
107	4577	3899
108	4616	3853
109	4656	3809
110	4694	3764
111	4731	3717
112	4767	3670
113	4813	3631
114	4852	3586
115	4904	3551
116	4949	3511
117	4988	3466
118	5026	3421
119	5065	3376
120	5104	3332
121	5143	3288
122	5181	3243
123	5218	3198
124	5255	3153
125	5292	3108
126	5330	3063
127	5374	3023
128	5413	2979
129	5458	2939
130	5495	2894
131	5529	2848
132	5569	2805
133	5607	2761
134	5645	2718
135	5684	2675
136	5725	2632
137	5766	2590
138	5804	2547
139	5842	2503
140	5881	2460
141	5917	2416
142	5954	2373
143	5990	2329
144	6027	2286
145	6064	2242
146	6100	2199
147	6136	2156
148	6173	2113
149	6208	2069
150	6243	2026
151	6280	1983
152	6316	1940
153	6354	1898
154	6389	1854
155	6425	1812
156	6462	1769
157	6498	1727
158	6536	1685
159	6574	1643
160	6610	1601
161	6647	1559
162	6684	1517
163	6720	1475
164	6755	1433
165	6792	1391
166	6826	1349
167	6872	1309
168	6910	1267
169	6946	1225
170	6986	1184
171	7026	1143
172	7068	1103
173	7106	1061
174	7146	1020
175	7186	980
176	7229	939
177	7268	898
178	7305	857
179	7343	815
180	7383	775
181	7422	734
182	7462	693
183	7499	652
184	7538	611
185	7577	570
186	7615	529
187	7663	489
188	7702	448
189	7741	407
190	7777	366
191	7816	325
192	7853	284
193	7891	244
194	7930	203
195	7969	162
196	8008	121
197	8045	81
198	8083	40
199	8121	0
